User,Games,language
PlayHard,"['Grand Theft Auto V', 'Just Chatting', 'Garena Free Fire', 'Ark: Survival Evolved', 'The Isle']",Portuguese
Ponce,"['Just Chatting', 'Mario Kart 8', 'FIFA 21', 'Rocket League', 'Super Mario Odyssey']",French
Punz,"['VALORANT', 'Minecraft', 'Pummel Party', 'Rust', 'Among Us']",English
Purpled,"['Minecraft', 'Subnautica', 'Just Chatting', 'Fortnite', 'VALORANT']",English
QTCinderella,"['Just Chatting', 'Chess', 'League of Legends', 'Rust', 'Parkitect']",English
Quackity,"['Minecraft', 'Just Chatting', 'Habbo', 'Gartic Phone', 'IMVU']",English
QuackityToo,"['Just Chatting', 'Minecraft', 'Roblox', 'Toontown Online', 'Outlast']",English
QuarterJade,"['VALORANT', 'Just Chatting', 'Apex Legends', 'Rust', 'Among Us']",English
ROSHTEIN,"['Slots', 'Just Chatting', 'FIFA 22', 'Apex Legends']",English
Rakin,"['New World', 'League of Legends', 'Teamfight Tactics', 'VALORANT', 'Just Chatting']",Portuguese
Ramee,"['Grand Theft Auto V', 'VALORANT', 'Rust', 'Just Chatting', 'Splitgate']",English
RanbooLive,"['Minecraft', 'Just Chatting', 'Life is Strange', 'Night in the Woods', 'Portal 2']",English
Ranger,"['Fortnite', 'Fitness & Health', 'Just Chatting']",English
RatedEpicz,"['Grand Theft Auto V', 'VALORANT', 'Rust', 'FIFA 22', 'Rogue Company']",English
RebeuDeter,"['League of Legends', 'Grand Theft Auto V', 'Just Chatting', 'The Last of Us Part II', 'Resident Evil Village']",French
Reborn_Live,"['Just Chatting', 'Rust', 'Grand Theft Auto V', 'Minecraft', 'Dead by Daylight']",Spanish
Reetlol,"['Fortnite', 'Just Chatting', 'Apex Legends', 'Call of Duty: Black Ops Cold War', 'VALORANT']",English
Reverse2k,"['Fortnite', 'Apex Legends', 'VALORANT', 'Counter-Strike: Global Offensive', 'Rocket League']",English
RobertoCein,"['Just Chatting', 'Minecraft', 'ARK: Survival Evolved', ""I'm Only Sleeping"", 'Call of Duty: Warzone']",Spanish
Robleis,"['Just Chatting', 'Clash Royale', 'Fortnite', 'Minecraft', 'Counter-Strike: Global Offensive']",Spanish
RocketLeague,['Rocket League'],English
Rubius,"['Just Chatting', 'Grand Theft Auto V', 'Minecraft', 'Rust', 'God of War']",Spanish
SLAKUN10,"['Just Chatting', 'Grand Theft Auto V', 'Rocket League', 'VALORANT', 'Rust']",Spanish
Sapnap,"['Minecraft', 'Just Chatting', 'Monopoly Plus', 'Phasmophobia', ""Five Nights at Freddy's""]",English
Sardoche,"['Chess', 'League of Legends', 'Rocket League', 'Trials Rising', 'Dark Souls III']",French
Scarra,"['Teamfight Tactics', 'Eternal Return: Black Survival', 'Final Fantasy XIV Online', 'VALORANT', 'League of Legends']",English
ScreaM,"['VALORANT', 'Raid: Shadow Legends', 'Counter-Strike: Global Offensive']",English
ShahZaM,"['VALORANT', 'Jump King', 'Just Chatting', 'Counter-Strike: Global Offensive', 'Special Events']",English
Shiphtur,"['VALORANT', 'League of Legends', 'Just Chatting', 'Eternal Return: Black Survival', 'Apex Legends']",English
ShivFPS,"['Apex Legends', 'Rust', 'Call of Duty: Warzone', 'Battlefield 2042', 'Enlisted']",English
SkyrrozTV,"['Call of Duty: Warzone', 'Apex Legends', 'Call of Duty: Vanguard', 'Call of Duty: Black Ops Cold War', 'Resident Evil Village']",French
Slimecicle,"['Minecraft', 'The Dark Pictures Anthology: House of Ashes', 'Valheim', 'Metroid Dread', 'Inscryption']",English
Smajor,"['Minecraft', 'Among Us', 'Dread Hunger', 'VALORANT', 'Phasmophobia']",English
SmallAnt,"['Minecraft', 'Super Mario Odyssey', 'Pokémon Sword/Shield', 'Hollow Knight', 'Just Chatting']",English
Smzinho,"['Call of Duty: Warzone', 'Just Chatting', 'Tabletop RPGs', 'Middle-earth: Shadow of War', 'Watch Parties']",Portuguese
Snifferish,"['Minecraft', 'Just Chatting', 'Art', 'Pummel Party', 'It Takes Two']",English
Snip3down,"['Apex Legends', 'Halo: The Master Chief Collection', 'Just Chatting', 'Halo Infinite', 'Titanfall 2']",English
Solary,"['League of Legends', 'Teamfight Tactics', 'Talk Shows & Podcasts', 'Super Smash Bros. Ultimate', 'Dofus']",French
SolaryFortnite,"['Fortnite', 'Grand Theft Auto V', 'Pokémon Unite', 'Just Chatting', 'Naraka: Bladepoint']",French
Sommerset,"['Fortnite', 'Just Chatting', 'Apex Legends', 'Grand Theft Auto V', 'VALORANT']",English
SoyPan,"['Just Chatting', 'Fortnite', 'Call of Duty: Warzone', ""I'm Only Sleeping"", 'VALORANT']",Spanish
Squeezie,"['Just Chatting', 'Minecraft', 'Among Us', 'Genshin Impact', 'Special Events']",French
StableRonaldo,"['Slots', 'Fortnite', 'Rust', 'Just Chatting', 'Z1: Battle Royale']",English
Staryuuki,"['Just Chatting', 'Food & Drink', 'Grand Theft Auto V', 'Just Dance 2021', 'Fortnite']",Spanish
