Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
gongparipa,rainblue37,18.0,Directed,Just Chatting,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
gongparipa,rkdwl12,24.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,wkgml,24.0,Directed,Just Chatting,Just Chatting,Korean,Korean
gongparipa,woowakgood,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean
hm716,baalzebb,25.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,box930205,27.0,Directed,League of Legends,Just Chatting,Korean,Korean
hm716,faker,21.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,lck_korea,22.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,liok0485,31.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,lol_woolf,21.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,radiyu,40.0,Directed,League of Legends,Just Chatting,Korean,Korean
hm716,ronaronakr,25.0,Directed,League of Legends,Just Chatting,Korean,Korean
hm716,tmxk319,34.0,Directed,League of Legends,League of Legends,Korean,Korean
hm716,volibear_oyo,27.0,Directed,League of Legends,Just Chatting,Korean,Korean
jaewon4915,ajehr,26.0,Directed,Just Chatting,Talk Shows & Podcasts,Korean,Korean
jaewon4915,box930205,23.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,hm716,26.0,Directed,Just Chatting,League of Legends,Korean,Korean
jaewon4915,hongja1027,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,rulrudino,9.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,swon5274,5.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,tmxk319,15.0,Directed,Just Chatting,League of Legends,Korean,Korean
jaewon4915,uzuhama,7.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,wkgml,11.0,Directed,Just Chatting,Just Chatting,Korean,Korean
jaewon4915,woowakgood,12.0,Directed,Just Chatting,Just Chatting,Korean,Korean
liok0485,ailee_official,22.0,Directed,League of Legends,PLAYERUNKNOWN'S BATTLEGROUNDS,Korean,Korean
liok0485,dda_ju,5.0,Directed,League of Legends,LOST ARK,Korean,Korean
liok0485,faker,9.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,hm716,12.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,lck_korea,18.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,lol_ambition,13.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,qq102qq,5.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,tmxk319,41.0,Directed,League of Legends,League of Legends,Korean,Korean
liok0485,wkgml,16.0,Directed,League of Legends,Just Chatting,Korean,Korean
liok0485,zilioner,15.0,Directed,League of Legends,Just Chatting,Korean,Korean
ringkyu1123,lck_korea,17.0,Directed,League of Legends,League of Legends,Korean,Korean
ringkyu1123,riotgameslatam,6.0,Directed,League of Legends,Arcane,Korean,Spanish
